matchId,slug,playerid,overs,balls,maidens,conceded,wickets,economy,runsPerBall,dots,fours,sixes,wides,noballs
1359489,krunal-pandya,471342,4,24,0,35,0,8.75,1.45,5,2,2,0,0
1359489,mark-wood,351588,4,24,1,32,1,8,1.33,12,1,3,2,0
1359489,ravi-bishnoi,1175441,4,24,0,39,0,9.75,1.62,5,1,3,1,0
1359489,amit-mishra,31107,2,12,0,18,1,9,1.5,2,1,1,0,0
1359489,mohammed-siraj,940973,4,24,0,22,3,5.5,0.91,16,3,0,4,0
1359489,david-willey,308251,4,24,0,32,0,8,1.33,6,2,1,1,0
1359489,wayne-parnell,265564,4,24,0,41,3,10.25,1.7,6,5,1,3,0
1359489,harshal-patel,390481,4,24,0,48,2,12,2,5,4,3,0,0
1359489,karn-sharma,30288,3,18,0,48,1,16,2.66,5,3,5,1,0
1359489,shahbaz-ahmed,1159711,1,6,0,15,0,15,2.5,1,0,2,0,0
1359490,jason-behrendorff,272477,3,18,0,23,3,7.66,1.27,8,1,2,0,0
1359490,arshad-khan,1244751,1,6,0,12,0,12,2,1,2,0,1,0
1359490,cameron-green,1076713,3,18,0,30,0,10,1.66,4,5,0,1,0
1359490,hrithik-shokeen,1175423,4,24,0,43,1,10.75,1.79,10,4,2,1,1
1359490,riley-meredith,961713,3.4,22,0,34,2,9.27,1.54,10,5,1,0,1
1359490,piyush-chawla,32966,4,24,0,22,3,5.5,0.91,9,2,0,0,0
1359490,tilak-varma,1170265,1,6,0,7,0,7,1.16,3,1,0,1,0
1359490,mukesh-kumar,926851,2,12,0,30,2,15,2.5,6,3,3,0,0
1359490,mustafizur-rahman,330902,4,24,0,38,1,9.5,1.58,11,5,2,0,0
1359490,anrich-nortje,481979,4,24,0,35,0,8.75,1.45,8,2,2,0,0
1359490,lalit-yadav,930189,4,24,0,23,0,5.75,0.95,10,1,1,1,0
1359490,axar-patel,554691,4,24,0,20,0,5,0.83,12,2,0,1,0
1359490,kuldeep-yadav,559235,2,12,0,23,0,11.5,1.91,2,1,2,0,0
1359491,akash-singh,1175458,4,24,0,40,2,10,1.66,7,2,3,1,0
1359491,tushar-deshpande,822553,4,24,0,37,2,9.25,1.54,7,4,1,1,0
1359491,maheesh-theekshana,1138316,4,24,0,42,0,10.5,1.75,4,5,1,0,0
1359491,ravindra-jadeja,234675,4,24,0,21,2,5.25,0.87,11,0,0,3,0
1359491,moeen-ali,8917,2,12,0,21,1,10.5,1.75,3,0,2,0,0
1359491,sisanda-magala,379776,2,12,0,14,0,7,1.16,2,0,0,1,0
